"customer_id","number_of_orders","total_spent"
442,"1","242.99"
1238,"1","7993.87"
1296,"1","3768.94"
593,"1","208.98"
479,"1","8109.95"
293,"1","6102.96"
1354,"1","4475.46"
1120,"1","7159.96"
495,"1","2446.94"
1257,"1","5893.55"
154,"1","751.98"
1283,"1","279.99"
657,"1","3633.36"
234,"1","3804.92"
1306,"1","3505.77"
474,"1","3644.05"
899,"1","3239.98"
935,"1","1850.06"
748,"1","6382.95"
675,"1","7253.62"
696,"1","6240.55"
969,"1","391.99"
1179,"1","2123.56"
264,"1","1577.07"
1253,"1","1390.47"
270,"1","3646.98"
898,"1","3567.56"
435,"1","3439.46"
384,"1","8096.45"
1145,"1","3172.44"
351,"1","8498.46"
970,"1","4499.99"
732,"1","8975.16"
837,"1","6829.53"
826,"1","3671.71"
431,"1","1999.35"
1226,"1","1988.05"
491,"1","6971.55"
911,"1","1611.07"
462,"1","11463.96"
734,"1","13287.53"
855,"1","2008.76"
1272,"1","2699.99"
436,"1","2200.86"
1248,"1","6794.08"
180,"1","2478.40"
967,"1","2309.30"
870,"1","8309.44"
1219,"1","3484.07"
1397,"1","4921.15"
626,"1","7022.96"
263,"1","14405.05"
836,"1","9161.95"
784,"1","1194.28"
711,"1","4436.60"
470,"1","3270.23"
780,"1","11314.07"
768,"1","6515.96"
838,"1","9849.07"
1036,"1","700.79"
149,"1","8474.16"
478,"1","4700.06"
577,"1","5909.61"
1301,"1","4692.86"
505,"1","6813.75"
280,"1","4616.01"
461,"1","5768.21"
328,"1","8740.97"
1057,"1","5851.93"
717,"1","6659.96"
525,"1","18114.93"
634,"1","1364.94"
1046,"1","2205.76"
1328,"1","4633.85"
650,"1","2701.17"
703,"1","398.97"
210,"1","3599.99"
226,"1","13033.60"
843,"1","1351.72"
710,"1","1765.13"
1161,"1","8445.95"
1016,"1","1797.98"
447,"1","5080.62"
298,"1","9474.94"
1015,"1","6824.97"
954,"1","3269.98"
1218,"1","3126.64"
800,"1","8177.05"
204,"1","2813.56"
1021,"1","5863.45"
1165,"1","9301.93"
1077,"1","718.40"
456,"1","1690.66"
796,"1","1926.58"
1281,"1","2932.48"
1247,"1","6239.09"
531,"1","15087.26"
1429,"1","2042.06"
283,"1","1172.97"
1409,"1","2093.41"
807,"1","4231.12"
624,"1","4271.11"
546,"1","2197.95"
1427,"1","351.99"
686,"1","3816.46"
297,"1","3658.18"
361,"1","5154.15"
681,"1","13130.83"
1173,"1","1904.46"
303,"1","3136.04"
1261,"1","9497.17"
974,"1","1197.07"
829,"1","845.98"
785,"1","929.98"
1406,"1","7900.43"
472,"1","7350.46"
643,"1","5224.55"
444,"1","8945.75"
537,"1","4318.01"
1149,"1","6265.96"
1370,"1","7439.98"
1115,"1","3720.89"
1401,"1","2200.94"
373,"1","949.98"
252,"1","8587.40"
343,"1","1800.48"
1383,"1","1392.27"
1199,"1","15455.63"
1316,"1","5925.47"
723,"1","6074.05"
1345,"1","1287.57"
497,"1","2958.30"
1086,"1","12400.85"
884,"1","845.98"
155,"1","4214.97"
722,"1","3292.00"
609,"1","11035.85"
953,"1","2681.16"
416,"1","1709.37"
1286,"1","494.99"
195,"1","14935.03"
1153,"1","4466.65"
1137,"1","6654.47"
1097,"1","4195.31"
199,"1","4571.07"
369,"1","1536.12"
1374,"1","8394.47"
441,"1","12965.75"
243,"1","2658.76"
1264,"1","2469.96"
902,"1","1217.26"
1309,"1","1619.99"
1142,"1","232.49"
1047,"1","1786.47"
740,"1","1644.52"
1178,"1","3950.36"
892,"1","2754.99"
856,"1","3659.98"
230,"1","9211.52"
1083,"1","3866.05"
503,"1","13242.96"
1154,"1","3227.39"
573,"1","1229.09"
1356,"1","1359.98"
987,"1","2738.25"
994,"1","3403.85"
1099,"1","1019.96"
250,"1","2371.16"
852,"1","989.98"
611,"1","5219.98"
621,"1","1553.97"
865,"1","3995.62"
1246,"1","4167.85"
1382,"1","16491.52"
1206,"1","6239.28"
962,"1","1856.61"
106,"1","2770.96"
1200,"1","5565.56"
1010,"1","9479.96"
178,"1","4125.56"
795,"1","2431.17"
809,"1","15416.16"
585,"1","959.98"
934,"1","7999.96"
908,"1","15439.95"
1310,"1","5833.97"
455,"1","719.98"
708,"1","1899.98"
370,"1","521.98"
684,"1","511.49"
713,"1","8712.85"
1135,"1","6150.94"
448,"1","513.35"
1156,"1","3763.87"
1205,"1","10563.65"
396,"1","4699.96"
930,"1","1464.26"
1395,"1","5220.47"
701,"1","5126.95"
1092,"1","753.58"
132,"1","3271.81"
514,"1","242.99"
322,"1","11832.45"
1414,"1","176.69"
1234,"1","2069.45"
854,"1","1972.96"
389,"1","877.98"
1056,"1","4503.75"
916,"1","7951.15"
863,"1","5801.93"
114,"1","727.98"
1106,"1","1576.78"
1052,"1","7663.95"
754,"1","6887.14"
1413,"1","3014.32"
289,"1","17834.96"
518,"1","3039.98"
1299,"1","1831.18"
583,"1","11578.65"
1202,"1","4497.58"
693,"1","375.99"
1400,"1","2928.68"
98,"1","2546.47"
744,"1","5923.96"
715,"1","10187.95"
490,"1","6804.96"
527,"1","4279.57"
235,"1","5989.97"
1132,"1","15205.93"
627,"1","11479.54"
763,"1","1525.16"
306,"1","6489.57"
286,"1","1026.70"
376,"1","2136.53"
147,"1","10322.97"
860,"1","451.78"
480,"1","3074.21"
338,"1","4132.99"
1066,"1","4030.96"
358,"1","3247.25"
412,"1","2963.98"
989,"1","5090.42"
564,"1","8392.94"
950,"1","3799.16"
535,"1","1759.98"
1159,"1","6764.57"
1168,"1","799.99"
1260,"1","5686.58"
642,"1","772.20"
232,"1","1755.37"
725,"1","396.14"
131,"1","2335.52"
310,"1","12935.95"
832,"1","3146.46"
907,"1","3495.66"
1001,"1","3911.86"
584,"1","2090.66"
746,"1","386.10"
806,"1","4037.96"
353,"1","3196.20"
939,"1","2230.55"
834,"1","1694.06"
831,"1","4169.98"
813,"1","3376.60"
1164,"1","4539.97"
1298,"1","4214.95"
574,"1","6462.46"
1335,"1","2672.69"
1443,"1","10372.09"
225,"1","7486.33"
1305,"1","1509.47"
1344,"1","3377.97"
333,"1","2840.05"
174,"1","2963.98"
1375,"1","2915.11"
891,"1","655.98"
134,"1","3751.87"
1297,"1","502.18"
1430,"1","3628.51"
1419,"1","4399.99"
918,"1","557.99"
1241,"1","1115.98"
1293,"1","1285.97"
975,"1","4269.96"
848,"1","4991.97"
1303,"1","5332.95"
102,"1","3121.13"
430,"1","1847.06"
158,"1","1395.16"
1292,"1","1099.48"
533,"1","3346.03"
915,"1","1301.47"
459,"1","4877.41"
207,"1","2500.44"
979,"1","2867.28"
1418,"1","4162.86"
1180,"1","1753.77"
871,"1","11588.65"
881,"1","1367.09"
385,"1","2427.96"
492,"1","9927.56"
1410,"1","1829.67"
544,"1","9908.46"
1442,"1","6987.25"
365,"1","1758.51"
704,"1","988.48"
606,"1","4387.97"
618,"1","3159.93"
308,"1","7394.96"
880,"1","11120.33"
313,"1","4918.37"
1072,"1","4064.84"
1080,"1","3430.96"
140,"1","12909.92"
248,"1","1101.68"
137,"1","723.89"
392,"1","1681.97"
614,"1","3935.97"
966,"1","5107.86"
760,"1","4105.11"
1055,"1","2849.99"
218,"1","6902.47"
1188,"1","3668.93"
671,"1","583.98"
580,"1","2975.99"
1131,"1","14566.43"
742,"1","4617.76"
912,"1","4949.99"
846,"1","728.97"
938,"1","2135.06"
1158,"1","6754.94"
1037,"1","17758.35"
184,"1","16436.07"
753,"1","1022.98"
477,"1","1044.98"
1300,"1","7932.95"
550,"1","10794.35"
394,"1","7184.97"
272,"1","8561.26"
781,"1","4205.98"
1437,"1","3799.99"
867,"1","10529.96"
1362,"1","4299.96"
190,"1","2082.14"
858,"1","1804.86"
554,"1","4459.22"
406,"1","1139.98"
424,"1","1490.29"
670,"1","3586.71"
309,"1","3900.66"
849,"1","1034.28"
509,"1","11787.55"
1366,"1","989.98"
919,"1","5989.94"
1348,"1","11183.03"
156,"1","4534.38"
1067,"1","4130.34"
932,"1","1973.73"
1096,"1","4169.35"
1273,"1","5122.35"
641,"1","3563.02"
475,"1","1139.98"
1408,"1","4829.18"
961,"1","5338.96"
1433,"1","4226.23"
888,"1","10728.44"
282,"1","9163.43"
1235,"1","5417.97"
733,"1","959.98"
269,"1","7526.04"
261,"1","1837.47"
502,"1","2312.44"
257,"1","5315.90"
125,"1","7067.96"
1122,"1","6701.46"
1426,"1","6782.34"
700,"1","12541.76"
1308,"1","2319.97"
1166,"1","242.99"
1258,"1","12381.83"
587,"1","8763.96"
1444,"1","1399.98"
1090,"1","12392.95"
349,"1","6912.17"
914,"1","1793.76"
728,"1","7918.84"
766,"1","989.98"
1150,"1","7091.94"
1119,"1","5775.54"
506,"1","8359.22"
1416,"1","3254.99"
242,"1","7143.66"
331,"1","1929.51"
1024,"1","6412.55"
913,"1","1841.62"
599,"1","3535.28"
677,"1","242.99"
1232,"1","1891.11"
1028,"1","3564.97"
698,"1","1585.16"
96,"1","7681.12"
466,"1","2113.58"
201,"1","2548.97"
844,"1","10186.63"
980,"1","1416.57"
1039,"1","2329.58"
631,"1","6749.97"
1201,"1","9372.37"
1314,"1","7045.16"
1196,"1","4499.99"
107,"1","6961.09"
446,"1","377.98"
1163,"1","4186.53"
749,"1","5893.56"
1148,"1","8009.03"
920,"1","9314.84"
219,"1","1567.17"
1058,"1","2743.98"
363,"1","242.99"
1432,"1","2696.99"
512,"1","3509.97"
340,"1","9157.76"
661,"1","9287.94"
1213,"1","5244.96"
873,"1","3278.05"
356,"1","9865.47"
523,"1","1519.98"
458,"1","1304.98"
1311,"1","3975.23"
414,"1","1337.08"
640,"1","5809.48"
1053,"1","1257.97"
368,"1","751.98"
735,"1","2605.28"
538,"1","7042.67"
166,"1","751.98"
595,"1","13191.94"
142,"1","5224.99"
924,"1","683.07"
410,"1","5478.95"
872,"1","2497.96"
1140,"1","2835.55"
1054,"1","3899.97"
792,"1","847.98"
1381,"1","2414.96"
896,"1","6715.43"
651,"1","16890.15"
381,"1","888.28"
1005,"1","17611.96"
359,"1","1990.16"
597,"1","4017.44"
1291,"1","6330.57"
193,"1","914.97"
1012,"1","6712.85"
1435,"1","8069.66"
548,"1","1949.64"
730,"1","4327.03"
1212,"1","1697.97"
1087,"1","2190.57"
709,"1","3359.97"
177,"1","170.99"
886,"1","9927.20"
1105,"1","2843.07"
1332,"1","12307.96"
727,"1","7855.24"
985,"1","7130.54"
1405,"1","1649.97"
810,"1","10951.56"
779,"1","5055.11"
1231,"1","2119.26"
1276,"1","6089.98"
1117,"1","1845.88"
1251,"1","2259.34"
931,"1","4305.96"
145,"1","8696.07"
557,"1","359.20"
1189,"1","3581.46"
718,"1","167.99"
485,"1","1635.55"
623,"1","1253.98"
1364,"1","989.99"
1439,"1","9919.92"
1388,"1","2559.99"
1081,"1","7747.74"
229,"1","814.67"
1112,"1","5709.96"
559,"1","9408.79"
1315,"1","7848.26"
788,"1","242.99"
1102,"1","3891.51"
304,"1","502.18"
1198,"1","1745.96"
633,"1","845.18"
341,"1","1199.98"
450,"1","4030.06"
900,"1","4298.45"
405,"1","1245.97"
1195,"1","11993.97"
996,"1","494.99"
762,"1","5537.98"
712,"1","3065.98"
1174,"1","5927.55"
513,"1","458.98"
101,"1","1405.96"
1197,"1","2800.30"
1063,"1","13765.55"
473,"1","11596.43"
1059,"1","3185.95"
878,"1","7984.94"
679,"1","3038.32"
375,"1","11391.43"
983,"1","9712.95"
415,"1","11349.96"
976,"1","16950.08"
729,"1","799.99"
408,"1","2297.76"
680,"1","1987.97"
1242,"1","4762.46"
1376,"1","4109.07"
1365,"1","5699.98"
782,"1","7183.32"
1160,"1","3110.86"
689,"1","6803.97"
1338,"1","1626.78"
1359,"1","6543.06"
982,"1","2877.77"
522,"1","1196.97"
674,"1","1402.77"
1079,"1","758.98"
630,"1","1265.97"
1445,"1","7999.98"
1152,"1","5841.10"
575,"1","2222.87"
821,"1","633.62"
1330,"1","5891.16"
1384,"1","2518.15"
401,"1","256.49"
1141,"1","4135.96"
659,"1","853.10"
1329,"1","3994.46"
739,"1","4746.63"
1094,"1","824.98"
279,"1","9327.74"
1110,"1","1249.97"
903,"1","5588.52"
716,"1","3591.27"
741,"1","1349.98"
897,"1","611.98"
543,"1","10336.96"
736,"1","4507.61"
565,"1","5578.13"
566,"1","4458.96"
1130,"1","502.18"
457,"1","377.98"
592,"1","422.99"
281,"1","5672.28"
1440,"1","10360.26"
687,"1","7971.23"
1041,"1","5627.96"
553,"1","2197.89"
302,"1","631.67"
288,"1","4765.43"
622,"1","512.98"
927,"1","1516.34"
1027,"1","2217.64"
774,"1","5806.04"
1385,"1","2006.06"
398,"1","1139.98"
635,"1","1502.96"
388,"1","418.49"
1233,"1","5015.74"
1346,"1","3442.81"
820,"1","3229.95"
1267,"1","3126.64"
620,"1","2065.98"
992,"1","1139.96"
894,"1","4495.27"
1357,"1","569.98"
245,"1","10869.96"
205,"1","3642.01"
1326,"1","3155.96"
325,"1","949.99"
1020,"1","14141.34"
895,"1","6929.10"
673,"1","3695.47"
1377,"1","997.17"
1060,"1","8011.31"
1127,"1","3032.98"
783,"1","10998.03"
1017,"1","1368.07"
484,"1","6332.94"
334,"1","12663.96"
144,"1","256.49"
558,"1","431.98"
1071,"1","3370.57"
540,"1","7251.97"
168,"1","3801.65"
1224,"1","24607.03"
598,"1","9645.38"
471,"1","569.99"
1051,"1","9399.97"
1424,"1","6591.98"
287,"1","2320.56"
464,"1","18853.35"
1109,"1","1595.67"
167,"1","14172.22"
277,"1","3570.56"
290,"1","1467.96"
300,"1","1023.98"
1352,"1","3243.75"
662,"1","3960.43"
284,"1","1001.61"
1254,"1","5515.96"
342,"1","269.99"
1133,"1","4115.97"
1441,"1","9173.38"
1271,"1","2717.96"
367,"1","6602.95"
1035,"1","1104.47"
588,"1","1052.96"
1073,"1","1115.98"
1019,"1","11950.48"
206,"1","8429.95"
439,"1","2789.99"
1389,"1","1499.38"
586,"1","386.10"
572,"1","930.98"
336,"1","754.58"
275,"1","11476.54"
247,"1","10570.47"
260,"1","3349.65"
1412,"1","1234.97"
423,"1","599.99"
1240,"1","5444.96"
139,"1","2319.98"
1182,"1","2052.35"
411,"1","9673.84"
869,"1","1037.37"
1033,"1","2889.86"
864,"1","3390.47"
425,"1","20509.43"
672,"1","7111.04"
825,"1","1934.96"
1040,"1","6068.95"
316,"1","6815.95"
403,"1","10866.96"
731,"1","1652.98"
1282,"1","2402.48"
256,"1","2658.15"
332,"1","5728.93"
1350,"1","6089.93"
654,"1","660.59"
628,"1","3105.96"
422,"1","872.08"
885,"1","4624.94"
549,"1","557.99"
185,"1","3290.77"
215,"1","4397.96"
380,"1","2787.96"
653,"1","3191.95"
1275,"1","2726.49"
1107,"1","1868.96"
1339,"1","1590.85"
130,"1","423.99"
1157,"1","797.94"
612,"1","4196.03"
486,"1","5834.14"
625,"1","3860.15"
1155,"1","1567.47"
617,"1","993.22"
765,"1","4737.26"
1277,"1","706.78"
552,"1","2449.75"
887,"1","4369.34"
959,"1","8816.95"
314,"1","6872.94"
819,"1","4784.16"
386,"1","4012.65"
817,"1","2252.92"
1274,"1","7791.06"
426,"1","6023.95"
433,"1","1601.37"
364,"1","5291.97"
1187,"1","2013.97"
877,"1","7783.42"
299,"1","2687.14"
1113,"1","4171.95"
1123,"1","2509.95"
345,"1","9728.98"
605,"1","5442.07"
1317,"1","325.49"
541,"1","11406.43"
971,"1","15876.43"
660,"1","5959.07"
910,"1","4334.06"
437,"1","3859.93"
236,"1","4157.97"
941,"1","3018.29"
957,"1","912.27"
949,"1","1279.06"
1065,"1","466.84"
998,"1","5528.96"
197,"1","4655.04"
493,"1","576.79"
999,"1","6530.91"
707,"1","1559.97"
454,"1","464.99"
665,"1","7040.85"
1064,"1","1060.17"
759,"1","2214.05"
1193,"1","2024.06"
482,"1","279.99"
879,"1","1276.98"
227,"1","18553.73"
500,"1","6196.64"
1204,"1","1372.47"
311,"1","1250.86"
103,"1","2718.39"
1169,"1","4665.55"
1252,"1","3181.54"
1171,"1","14249.65"
1085,"1","5841.52"
1138,"1","10541.96"
875,"1","269.99"
1236,"1","8263.87"
1353,"1","3613.72"
420,"1","8204.53"
1255,"1","923.07"
1438,"1","12980.94"
1407,"1","1856.08"
561,"1","953.98"
845,"1","2011.46"
1322,"1","5014.96"
755,"1","9210.72"
1184,"1","3287.32"
1031,"1","8787.13"
196,"1","10949.95"
291,"1","1600.09"
1069,"1","8280.54"
1361,"1","1240.18"
1129,"1","4497.00"
859,"1","7659.34"
842,"1","692.08"
767,"1","464.99"
1367,"1","2032.44"
244,"1","1113.27"
1043,"1","7256.77"
602,"1","799.98"
1192,"1","8299.97"
1088,"1","3793.16"
691,"1","4067.66"
1124,"1","3419.98"
468,"1","962.97"
697,"1","728.97"
1243,"1","1582.16"
721,"1","479.99"
251,"1","8879.45"
1100,"1","18670.93"
705,"1","3463.55"
1270,"1","629.98"
1436,"1","9334.51"
171,"1","3723.83"
1032,"1","3121.48"
960,"1","7995.80"
397,"1","1378.18"
604,"1","837.98"
427,"1","3149.99"
786,"1","539.99"
347,"1","225.89"
179,"1","5887.34"
562,"1","2509.88"
636,"1","2635.12"
1228,"1","512.98"
321,"1","1165.08"
105,"1","12461.55"
1387,"1","1199.98"
402,"1","2282.97"
804,"1","417.99"
445,"1","1599.98"
866,"1","6843.94"
889,"1","949.17"
991,"1","8062.12"
1391,"1","17086.93"
467,"1","2357.96"
776,"1","333.59"
327,"1","5716.60"
253,"1","1439.98"
581,"1","7824.04"
1369,"1","620.09"
692,"1","13821.53"
1177,"1","3302.17"
1121,"1","2360.39"
133,"1","3810.82"
1343,"1","1818.45"
724,"1","6152.65"
1134,"1","5723.74"
1237,"1","12420.71"
1222,"1","1441.17"
1323,"1","2333.36"
372,"1","6578.97"
1358,"1","3443.94"
339,"1","17479.96"
600,"1","4038.50"
772,"1","1174.57"
335,"1","4147.66"
603,"1","4890.37"
591,"1","1646.38"
383,"1","17305.94"
808,"1","8083.96"
301,"1","4156.69"
1011,"1","1042.17"
757,"1","2511.46"
771,"1","2891.75"
827,"1","375.99"
254,"1","1716.55"
377,"1","755.97"
1360,"1","7967.41"
952,"1","4644.91"
159,"1","11013.93"
1402,"1","799.99"
1399,"1","2319.75"
432,"1","3489.97"
986,"1","4544.85"
857,"1","418.49"
619,"1","4100.44"
890,"1","3750.87"
1214,"1","20648.95"
1394,"1","2615.98"
1341,"1","8476.52"
1347,"1","6495.97"
1061,"1","1076.93"
319,"1","2337.46"
1417,"1","557.98"
1074,"1","1072.16"
517,"1","9044.93"
1111,"1","170.99"
1082,"1","3199.99"
1392,"1","5922.47"
129,"1","3011.48"
203,"1","12369.63"
1181,"1","2283.81"
789,"1","2195.57"
346,"1","502.19"
267,"1","1625.96"
1002,"1","1233.67"
773,"1","4873.96"
1023,"1","19329.95"
146,"1","6183.56"
1172,"1","5777.77"
861,"1","4169.98"
1208,"1","3144.33"
162,"1","4094.85"
511,"1","1277.97"
1351,"1","2465.46"
738,"1","9532.35"
797,"1","1984.07"
1183,"1","2664.96"
582,"1","3168.55"
1333,"1","8534.37"
1095,"1","426.55"
1034,"1","9874.65"
943,"1","683.07"
330,"1","11972.93"
1386,"1","1806.41"
751,"1","5498.37"
1220,"1","5404.06"
451,"1","359.20"
262,"1","2484.43"
323,"1","2699.99"
348,"1","3223.18"
337,"1","5119.35"
1363,"1","1860.58"
504,"1","1200.54"
238,"1","20177.75"
399,"1","1331.97"
112,"1","7952.05"
560,"1","3502.49"
547,"1","11183.04"
818,"1","2419.76"
613,"1","502.18"
1042,"1","5588.34"
268,"1","7211.72"
737,"1","2748.75"
1404,"1","3015.31"
569,"1","7105.78"
615,"1","4911.44"
452,"1","377.98"
798,"1","11062.42"
830,"1","989.98"
200,"1","391.99"
988,"1","2432.94"
1340,"1","242.99"
964,"1","502.18"
601,"1","377.98"
590,"1","1655.07"
990,"1","8200.73"
1396,"1","5984.98"
202,"1","4095.01"
685,"1","386.10"
905,"1","12089.98"
1379,"1","2834.84"
973,"1","4835.38"
610,"1","8696.07"
1425,"1","4639.98"
678,"1","1673.99"
812,"1","1227.58"
579,"1","6397.47"
510,"1","2346.66"
1390,"1","5333.34"
1176,"1","531.98"
1186,"1","1228.52"
198,"1","2749.35"
212,"1","6155.96"
1116,"1","1055.98"
1290,"1","8336.42"
1089,"1","6784.96"
1380,"1","2319.99"
404,"1","519.98"
1070,"1","12774.25"
1147,"1","5004.60"
720,"1","1389.77"
997,"1","10986.90"
917,"1","5219.98"
489,"1","2853.96"
1280,"1","5342.16"
1029,"1","2804.14"
515,"1","3766.63"
1068,"1","3167.96"
1256,"1","1538.96"
1000,"1","1950.58"
616,"1","3372.14"
1245,"1","7345.74"
1211,"1","3439.94"
1393,"1","1681.48"
706,"1","2452.95"
1230,"1","7063.46"
571,"1","6578.93"
516,"1","1499.97"
216,"1","4912.16"
666,"1","8570.97"
956,"1","1060.55"
395,"1","4041.15"
1423,"1","11238.65"
542,"1","2501.76"
1294,"1","1243.78"
295,"1","11055.94"
958,"1","5557.33"
882,"1","6229.12"
694,"1","3531.30"
213,"1","4789.73"
955,"1","4274.98"
1114,"1","1951.35"
274,"1","5701.11"
1304,"1","2966.64"
801,"1","4044.85"
163,"1","4851.14"
223,"1","4563.09"
669,"1","2899.48"
833,"1","5779.82"
1103,"1","12334.96"
1302,"1","6349.36"
352,"1","5925.56"
1244,"1","5732.47"
